artifact_id,alias_name,canonical_name,sha256,size_bytes,extension,category,duplicate_content,privacy_class,status
ART-P011-0016,P011-EESI-001_Evolutionary_Clone_Fabric_Q2_v0.1.zip,P011-EESI-001_Evolutionary_Clone_Fabric_Q2_v0.1.zip,f4bf3ba2862a76a57f2a6ca051b850575de62ad972b01a030ae432917898626b,34539,.zip,clone_evolution_revenue,False,public,registered_build_input
ART-P011-0017,P011-EESI-001_Evolutionary_Clone_Fabric_v0.1.zip,P011-EESI-001_Evolutionary_Clone_Fabric_v0.1.zip,815d2dbd14e43d8be97f6dd23ba04691a587f792f5f2824c34a98dce13370b3c,39717,.zip,clone_evolution_revenue,False,public,registered_build_input
ART-P011-0018,P011-EESI-001_Implementation_Package_v0.1.zip,P011-EESI-001_Implementation_Package_v0.1.zip,26b80589f519978f543c300f38be33110c7f60f0ff94e3d9a83e23c30beff238,34539,.zip,clone_evolution_revenue,False,public,registered_build_input
ART-P011-0019,P011-MEPL-001-Q3-implementation.md,P011-MEPL-001-Q3-implementation.md,92946f0f4431c64161373c79a5545d6cae3f9f557d551abfd991bf938d516069,3139,.md,mepl_data_quality,False,public,registered_build_input
ART-P011-0020,P011-OMNI-001_Cross-Platform_Continuity_Package_v0.4.zip,P011-OMNI-001_Cross-Platform_Continuity_Package_v0.4.zip,7774efc3900268118c65b5aa51011bbfd7e19a7f9b0eeb4288a1c30a74e32744,36848,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0021,P011-OMNI-BRIDGE-001_Portable_Operating_Package_v0.2.zip,P011-OMNI-BRIDGE-001_Portable_Operating_Package_v0.2.zip,4acf93a89bdd4a5d1fc481000ad6ea893cc9e1bacb6e95a2009bbf4112dffa2a,58334,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0022,P011_Broadband_Continuity_Handoff_v0.1.zip,P011_Broadband_Continuity_Handoff_v0.1.zip,f8cf0f4ee80dcc1c13bb911f16b009b8679222952f753ba1e96b41cda90d94f0,11889,.zip,architecture_continuity,False,public,registered_build_input
ART-P011-0023,P011_CEL_EVO_FABLE5_MMMS_v0.1.zip,P011_CEL_EVO_FABLE5_MMMS_v0.1.zip,0c28e3442d6d6c22b023d88601f16b841e1702c4bf0a75edb8bb5084ecd3cf64,947214,.zip,clone_evolution_revenue,False,public,registered_build_input
ART-P011-0024,P011_EESI_001_Clone_Fabric_v0.1.zip,P011_EESI_001_Clone_Fabric_v0.1.zip,4f067bd012f401c3ea54d2cc7c852b9173a1de7cac1474f85ab02de6ea5550c4,76947,.zip,clone_evolution_revenue,False,public,registered_build_input
ART-P011-0025,P011_EESI_001_Clone_Fabric_v0.2.zip,P011_EESI_001_Clone_Fabric_v0.2.zip,8ca145f5b104a45debf8f9221950a9a037b0695c6c5dcf5dec9971e3138a6720,64295,.zip,clone_evolution_revenue,False,public,registered_build_input
ART-P011-0026,P011_Master_Evidence_Product_Ledger_Q3.precalc.xlsx,P011_MEPL_Q3_Control_Tower_v0.2_Validated.xlsx,44989c116fea52b858bba7fd85ce66d1f11a50c53e9d72a02cc89563a3abbbd8,426707,.xlsx,mepl_data_quality,True,public,registered_build_input
ART-P011-0026,P011_Master_Evidence_Product_Ledger_Q3.xlsx,P011_MEPL_Q3_Control_Tower_v0.2_Validated.xlsx,44989c116fea52b858bba7fd85ce66d1f11a50c53e9d72a02cc89563a3abbbd8,426707,.xlsx,mepl_data_quality,True,public,registered_build_input
ART-P011-0027,P011_Master_Evidence_Product_Ledger_Q3_1_Clone_Revenue_Extension.xlsx,P011_Master_Evidence_Product_Ledger_Q3_1_Clone_Revenue_Extension.xlsx,dd069eb9d34da581571cbfa857a3ea143f07c3cff4002ec65e726608296427ba,577385,.xlsx,mepl_data_quality,False,public,registered_build_input
ART-P011-0028,P011_MEPL_Current_Checkpoint_Preview.png,P011_MEPL_Current_Checkpoint_Preview.png,355c7a98f02a00a55851a36448a2ce5a2f4bebc80a632967c0a326f1b2d571af,208190,.png,mepl_data_quality,False,public,registered_build_input
ART-P011-0029,P011_MEPL_Dashboard_Preview.png,P011_MEPL_Dashboard_Preview.png,faf3e680fa6f5667ade7060a4ad090795e5c7a51eceef1bf26f15eaca9c24ea9,161731,.png,mepl_data_quality,False,public,registered_build_input
ART-P011-0030,P011_MEPL_Gates_Approvals_Preview.png,P011_MEPL_Gates_Approvals_Preview.png,456ce38e56c28532d457fab2aa33e01eef2f2a82dd11aabf6deef234a0f0d60a,132618,.png,mepl_data_quality,False,public,registered_build_input
ART-P011-0031,P011_MEPL_Products_Inventory_Preview.png,P011_MEPL_Products_Inventory_Preview.png,0aefab49cf598837e6dfedc93dee472d625f3670d7f6001d628812e737dae4b6,133745,.png,mepl_data_quality,False,public,registered_build_input
ART-P011-0032,P011_MEPL_Q3_build.log,P011_MEPL_Q3_build.log,534786a5b6f017200afd4b0a86b55e49e1d83712717fa22a1a5da50d93bcd051,752,.log,mepl_data_quality,False,public,registered_build_input
ART-P011-0033,P011_MEPL_Q3_build_script.py,P011_MEPL_Q3_build_script.py,67fe0d343842d472a8c950d160cacef8f1b69a97e494d4d888606e6c29654348,73072,.py,mepl_data_quality,False,public,registered_build_input
ART-P011-0034,P011_MEPL_Q3_build_status.json,P011_MEPL_Q3_build_status.json,2ebd86aad6ac8eaf648e545fd72662c4ebd96d47f807d0419227c1431acfbed5,751,.json,mepl_data_quality,False,public,registered_build_input
ART-P011-0026,P011_MEPL_Q3_Control_Tower_v0.2_Validated.xlsx,P011_MEPL_Q3_Control_Tower_v0.2_Validated.xlsx,44989c116fea52b858bba7fd85ce66d1f11a50c53e9d72a02cc89563a3abbbd8,426707,.xlsx,mepl_data_quality,False,public,registered_build_input
ART-P011-0035,P011_MEPL_Q3_DELIVERABLES.json,P011_MEPL_Q3_DELIVERABLES.json,f1038b2779fa248c4bb0fb302b8b05a633dfcdf70fbaec9da648f40491174741,922,.json,mepl_data_quality,False,public,registered_build_input
ART-P011-0036,P011_MEPL_Q3_Delivery_Package.zip,P011_MEPL_Q3_Delivery_Package.zip,b8a72e5bd0647658a83cd15cdfb362b2c29a58712e9dc02ec6e838d1242ac97d,139930,.zip,mepl_data_quality,False,public,registered_build_input
ART-P011-0037,P011_MEPL_Q3_Delivery_Package.zip.sha256,P011_MEPL_Q3_Delivery_Package.zip.sha256,bbc7aa9d98ae6b4102f5dcd5d78b9bb15c00df61ab3495bb688811b76e622ba4,110,.sha256,mepl_data_quality,False,public,registered_build_input
ART-P011-0038,P011_MEPL_Q3_FINAL.ok,P011_MEPL_Q3_FINAL.ok,2e4c58a8c50f54e2146837ff4243aee490d8c64b822cb76327ef46c63b328867,10,.ok,mepl_data_quality,False,public,registered_build_input
ART-P011-0039,P011_MEPL_Q3_finalization.log,P011_MEPL_Q3_finalization.log,c711968759df3c6db2950aca4efab8284a535885d1427e0d176dab359b7046ce,390,.log,mepl_data_quality,False,public,registered_build_input
ART-P011-0040,P011_MEPL_Q3_Machine_Readable_Exports.zip,P011_MEPL_Q3_Machine_Readable_Exports.zip,469a11426b7dc93caa4d5f6cc795d7e0459a8e54328e207377d8bd7b98e6be00,36761,.zip,mepl_data_quality,False,public,registered_build_input
ART-P011-0041,P011_MEPL_Q3_manifest.json,P011_MEPL_Q3_manifest.json,77eed98bc8ab1f38295e9ec68f041a90078caee45f1ff5e0d3fc4da7251153ea,6747,.json,mepl_data_quality,False,public,registered_build_input
ART-P011-0042,P011_MEPL_Q3_Package.zip,P011_MEPL_Q3_Package.zip,3a2eef95943afedd42c27c8217e7ecb3ac5733de0bbdd7c7f52dc0d97af7c43d,340219,.zip,mepl_data_quality,False,public,registered_build_input
ART-P011-0043,P011_MEPL_Q3_Prototype_v0.2.zip,P011_MEPL_Q3_Prototype_v0.2.zip,bbc9b4c168039e8622c7808d15b6f5711ec8009101bb18999ebf99b095663cca,1462626,.zip,mepl_data_quality,False,public,registered_build_input
ART-P011-0044,P011_MEPL_Q3_QA_Report.json,P011_MEPL_Q3_QA_Report.json,4b272d4913d036e349f2756089bb053e47741f4978f8d2cda0f067d2faf09745,7496,.json,mepl_data_quality,False,public,registered_build_input
ART-P011-0045,P011_MEPL_Q3_Quality_Evidence_Packet.md,P011_MEPL_Q3_Quality_Evidence_Packet.md,b8a9a0db92caaf9de6d6a8bf0d6bdb45bf8190dd5555afd4831f81acab251545,3311,.md,mepl_data_quality,False,public,registered_build_input
ART-P011-0046,P011_MEPL_Q3_READ_ME_FIRST.md,P011_MEPL_Q3_READ_ME_FIRST.md,b543c7f312fc32d642221d9a79f826aac6e8fd7ebcf4d2a8d6d06248ef25ba92,2640,.md,mepl_data_quality,False,public,registered_build_input
ART-P011-0047,P011_MEPL_Q3_SHA256.txt,P011_MEPL_Q3_SHA256.txt,e585ef4da5a879ebac0d528ee3e098249503c03bd67fd3e7e2299e6c889d7e94,236,.txt,mepl_data_quality,False,public,registered_build_input
ART-P011-0048,P011_Mobile_Cross_Device_Operating_Card_v0.7.md,P011_Mobile_Cross_Device_Operating_Card_v0.7.md,b83e0ff38197b686c76485b289968fd288282fe3e126c79a1d8875f68329efc1,1731,.md,architecture_continuity,False,public,registered_build_input
ART-P011-0049,P011_OBIO_Control_Tower_v0.4.zip,P011_OBIO_Control_Tower_v0.4.zip,25673fd44e10f0b85bbd2a83035ffc98d5c299c2b823571b1a9110313b208a50,238623,.zip,mepl_data_quality,False,public,registered_build_input
ART-P011-0050,P011_OMNI_Broadband_Expansion_Roadmap_v0.7.md,P011_OMNI_Broadband_Expansion_Roadmap_v0.7.md,3e33581c8ac895527a2a9fca3ea4087d881c7b7bc4f6de478cb5909a114ceb82,12089,.md,architecture_continuity,False,public,registered_build_input
ART-P011-0051,P011_OmniBridge_v0.1.zip,P011_OmniBridge_v0.1.zip,a88ea891feb500399c0bb8371a57b50a08fabae876a184cfce4375df6cc28d0c,308855,.zip,architecture_continuity,False,public,registered_build_input
